ProcessID,count,NewProcessName,ProcessName,Application
0x0000000000000008,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x000000000000005c,2,Registry,Registry,
9756,2,,,
9740,2,,,
972,2,,,
0x00000000000001b4,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x00000000000001b8,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x00000000000001c0,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,
9360,2,,,
9368,2,,,\device\harddiskvolume3\windows\system32\svchost.exe
9384,2,,,
9300,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
0x0000000000000338,2,C:\Program Files\RUXIM\PLUGScheduler.exe,C:\Program Files\RUXIM\PLUGScheduler.exe,
9528,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
0x0000000000000230,2,C:\Windows\System32\MoUsoCoreWorker.exe,C:\Windows\System32\MoUsoCoreWorker.exe,
0x000000000000024c,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000000298,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x000000000000029c,2,C:\Windows\System32\sppsvc.exe,C:\Windows\System32\sppsvc.exe,
0x00000000000002b0,2,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,
0x000000000000020c,2,C:\Windows\System32\smss.exe,C:\Windows\System32\smss.exe,
0x0000000000000228,2,C:\Windows\System32\SearchProtocolHost.exe,C:\Windows\System32\SearchProtocolHost.exe,
0x00000000000008ac,2,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,
0x0000000000001b74,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x0000000000001b8c,2,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,
0x0000000000001b24,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000001b38,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x00000000000002ec,2,C:\Windows\System32\MusNotification.exe,C:\Windows\System32\MusNotification.exe,
0x00000000000002f0,2,C:\Windows\System32\dllhost.exe,C:\Windows\System32\dllhost.exe,
0x00000000000002d8,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000000a34,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,
0x00000000000008e4,2,C:\Windows\System32\sc.exe,C:\Windows\System32\sc.exe,
0x000000000000090c,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000000924,2,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,
0x00000000000008b8,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x00000000000008cc,2,C:\Windows\System32\gpupdate.exe,C:\Windows\System32\gpupdate.exe,
0x000000000000089c,2,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,
0x00000000000008a0,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x00000000000018f8,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000001c80,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000001c34,2,C:\Windows\System32\gpupdate.exe,C:\Windows\System32\gpupdate.exe,
0x0000000000001c54,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x0000000000001cec,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000001c94,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,
0x0000000000000a18,2,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\MpCmdRun.exe,
0x0000000000000a30,2,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,
0x000000000000194c,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x000000000000195c,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x000000000000191c,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000001db8,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000001dc0,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x0000000000001de8,2,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3989_none_7ddb45627cb30e03\TiWorker.exe,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3989_none_7ddb45627cb30e03\TiWorker.exe,
0x0000000000001da4,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000001da8,2,C:\Windows\System32\sppsvc.exe,C:\Windows\System32\sppsvc.exe,
7076,2,,,\device\harddiskvolume3\windows\system32\smartscreen.exe
6816,2,,,\device\harddiskvolume3\windows\system32\taskhostw.exe
6876,2,,,
6916,2,,,
6928,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
6964,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
10776,2,,,
10796,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
0x00000000000005f0,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x0000000000000600,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,
7104,2,,,\device\harddiskvolume3\users\taro\appdata\local\microsoft\edgeupdate\microsoftedgeupdate.exe
0x00000000000005b8,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,
0x00000000000005c0,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
6984,2,,,\device\harddiskvolume3\windows\system32\svchost.exe
7028,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
7064,2,,,
0x000000000000106c,2,C:\Windows\System32\PING.EXE,C:\Windows\System32\PING.EXE,
0x0000000000001038,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x000000000000103c,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x000000000000104c,2,C:\Windows\System32\rundll32.exe,C:\Windows\System32\rundll32.exe,
0x0000000000001058,2,C:\Program Files\RUXIM\PLUGScheduler.exe,C:\Program Files\RUXIM\PLUGScheduler.exe,
0x0000000000000ff4,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x000000000000123c,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x00000000000005e4,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
